_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8bb9a3245215261db859),1636637340,-100,-100,-100
ObjectId(61ab8bb9a3245215261db85a),1636637400,-100,-100,-100
ObjectId(61ab8bb9a3245215261db85b),1636637460,-100,-100,-100
ObjectId(61ab8bb9a3245215261db85c),1636637520,-100,-100,-100
ObjectId(61ab8bb9a3245215261db85d),1636637580,-100,-100,-100
ObjectId(61ab8bb9a3245215261db85e),1636637640,-100,-100,-100
ObjectId(61ab8bb9a3245215261db85f),1636637700,-100,-100,-100
ObjectId(61ab8bb9a3245215261db860),1636637760,-100,-100,-100
ObjectId(61ab8bb9a3245215261db861),1636637820,-100,-100,-100
ObjectId(61ab8bb9a3245215261db862),1636637880,-100,-100,-100
ObjectId(61ab8bb9a3245215261db863),1636637940,-100,-100,-100
ObjectId(61ab8bb9a3245215261db864),1636638000,-100,-100,-100
ObjectId(61ab8bb9a3245215261db865),1636638060,-100,-100,-100
ObjectId(61ab8bb9a3245215261db866),1636638120,-100,-100,-100
ObjectId(61ab8bb9a3245215261db867),1636638180,-100,-100,-100
ObjectId(61ab8bb9a3245215261db868),1636638240,-100,-100,-100
ObjectId(61ab8bb9a3245215261db869),1636638300,-100,-100,-100
ObjectId(61ab8bb9a3245215261db86a),1636638360,-100,-100,-100
ObjectId(61ab8bbaa3245215261db86b),1636638420,-100,-100,-100
ObjectId(61ab8bbaa3245215261db86c),1636638480,-100,-100,-100
ObjectId(61ab8bbaa3245215261db86d),1636638540,-100,-100,-100
ObjectId(61ab8bbaa3245215261db86e),1636638600,-100,-100,-100
ObjectId(61ab8bbaa3245215261db86f),1636638660,-100,-100,-100
ObjectId(61ab8bbaa3245215261db870),1636638720,-100,-100,-100
ObjectId(61ab8bbaa3245215261db871),1636638780,-100,-100,-100
ObjectId(61ab8bbaa3245215261db872),1636638840,-100,-100,-100
ObjectId(61ab8bbaa3245215261db873),1636638900,-100,-100,-100
ObjectId(61ab8bbaa3245215261db874),1636638960,-100,-100,-100
ObjectId(61ab8bbaa3245215261db875),1636639020,-100,-100,-100
ObjectId(61ab8bbaa3245215261db876),1636639080,-100,-100,-100
ObjectId(61ab8bbaa3245215261db877),1636639140,-100,-100,-100
ObjectId(61ab8bbaa3245215261db878),1636639200,-100,-100,-100
ObjectId(61ab8bbaa3245215261db879),1636639260,-100,-100,-100
ObjectId(61ab8bbaa3245215261db87a),1636639320,-100,-100,-100
ObjectId(61ab8bbaa3245215261db87b),1636639380,-100,-100,-100
ObjectId(61ab8bbaa3245215261db87c),1636639440,-100,-100,-100
ObjectId(61ab8bbaa3245215261db87d),1636639500,-100,-100,-100
ObjectId(61ab8bbaa3245215261db87e),1636639560,-100,-100,-100
ObjectId(61ab8bbaa3245215261db87f),1636639620,-100,-100,-100
ObjectId(61ab8bbaa3245215261db880),1636639680,-100,-100,-100
ObjectId(61ab8bbaa3245215261db881),1636639740,-100,-100,-100
ObjectId(61ab8bbaa3245215261db882),1636639800,-100,-100,-100
ObjectId(61ab8bbaa3245215261db883),1636639860,-100,-100,-100
ObjectId(61ab8bbaa3245215261db884),1636639920,-100,-100,-100
ObjectId(61ab8bbaa3245215261db885),1636639980,-100,-100,-100
ObjectId(61ab8bbaa3245215261db886),1636640040,-100,-100,-100
ObjectId(61ab8bbaa3245215261db887),1636640100,-100,-100,-100
ObjectId(61ab8bbaa3245215261db888),1636640160,-100,-100,-100
ObjectId(61ab8bbaa3245215261db889),1636640220,-100,-100,-100
ObjectId(61ab8bbaa3245215261db88a),1636640280,-100,-100,-100
ObjectId(61ab8bbaa3245215261db88b),1636640340,-100,-100,-100
ObjectId(61ab8bbaa3245215261db88c),1636640400,-100,-100,-100
ObjectId(61ab8bbaa3245215261db88d),1636640460,-100,-100,-100
ObjectId(61ab8bbaa3245215261db88e),1636640520,-100,-100,-100
ObjectId(61ab8bbaa3245215261db88f),1636640580,-100,-100,-100
ObjectId(61ab8bbba3245215261db890),1636640640,-100,-100,-100
ObjectId(61ab8bbba3245215261db891),1636640700,-100,-100,-100
ObjectId(61ab8bbba3245215261db892),1636640760,-100,-100,-100
ObjectId(61ab8bbba3245215261db893),1636640820,-100,-100,-100
ObjectId(61ab8bbba3245215261db894),1636640880,-100,-100,-100
ObjectId(61ab8bbba3245215261db895),1636640940,-100,-100,-100
ObjectId(61ab8bbba3245215261db896),1636641000,-100,-100,-100
ObjectId(61ab8bbba3245215261db897),1636641060,-100,-100,-100
ObjectId(61ab8bbba3245215261db898),1636641120,-100,-100,-100
ObjectId(61ab8bbba3245215261db899),1636641180,-100,-100,-100
ObjectId(61ab8bbba3245215261db89a),1636641240,-100,-100,-100
ObjectId(61ab8bbba3245215261db89b),1636641300,-100,-100,-100
ObjectId(61ab8bbba3245215261db89c),1636641360,-100,-100,-100
ObjectId(61ab8bbba3245215261db89d),1636641420,-100,-100,-100
ObjectId(61ab8bbba3245215261db89e),1636641480,-100,-100,-100
ObjectId(61ab8bbba3245215261db89f),1636641540,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a0),1636641600,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a1),1636641660,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a2),1636641720,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a3),1636641780,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a4),1636641840,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a5),1636641900,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a6),1636641960,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a7),1636642020,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a8),1636642080,-100,-100,-100
ObjectId(61ab8bbba3245215261db8a9),1636642140,-100,-100,-100
ObjectId(61ab8bbba3245215261db8aa),1636642200,-100,-100,-100
